Description,Sentiment_Analysis,Polarity
fiyatina göre pek doyurucu bir menü degil 8 yerine 10 adet hot shot gönderdiginiz tesekkür ederim,-1,-0.9991781115531921
taner beye tesekürler,-1,-0.6361309289932251
bedirhan kurye dostum sen tam bir çilginsin tam 7 dakikada geldi tesekkür ederim,-1,-0.9856408834457397
menü içindeki kola gelmedi,-1,-0.9978973865509033
isini severek yapanlarin toplandigi güzel bir adres kavacik kfc ürünlerin kalitesi hizi ferdi beyin kibarligi hepinize tesekkür ederim,1,0.9876360297203064
gayet güzeldi,1,0.9631555080413818
ben böyle hiz görmedim müthis tesekkür ederim,1,0.9958428144454956
güzel,1,0.9026162028312683
siparis notlarina adrese dikkat etmelisiniz,1,0.9419180750846863
güzeldi gördügüm büyük porsiyon gelmedi param bosa gitti,-1,-0.6493037939071655
turan beye tesekur ederizz,-1,-0.8022177219390869
güzeldi,1,0.9682750105857849
siparisler birbirine karismisti,-1,-0.9973980784416199
siparisim hizli sekilde ulasti tavuklar oldukça lezzetliydi getiren kurye güleryüzlü nazikti,0,0.5954418182373047
hizli geldi eksiksiz güzeldi elinize saglik,-1,-0.779650092124939
yanlis siparis sebebiyle kuryeler git gel yaptiklari halde güler yüzlü bir sekilde ugrastilar buradan tesekkür etmek istiyorum ikramlar anlayislari,-1,-0.671156108379364
patates isi sikinti digerleri güzel,-1,-0.9983996152877808
15 dk geldi hersey duzenli saglam geldi hamburger biraz bostu patatesler sicak tatsizdi,-1,-0.8408161401748657
hersey buzzzzz gibii geliyor burda hata motorcu degilllll paketleme yapam arkadaslarda asiri özensiz,-1,-0.9982657432556152
böyle devam kardesim,1,0.9959363341331482
hizir yetisti kurye 10 dkda geldi,1,0.6296364665031433
ürün sicak lezzetliydi tesekkurler,1,0.8055903911590576
kus yemi kadar herseyiniz doyurmuyor,-1,-0.9988893270492554
kalite hiz ilgi alakayi baska hi biyerde görmedim gerçekten misafirlerime karsi mahçup olmadim sayenizde minnetarim 3,1,0.9917635321617126
geç geldi soguktu,-1,-0.9881010055541992
cok taze cok sicakti ayrica hizli geldi hersey cok iyiydi tesekkurler,1,0.9746769666671753
hizli lezzetli,-1,-0.9248684644699097
güzel,1,0.9026162028312683
tuzlu,-1,-0.9850464463233948
ferdi beye tesekur ederim,-1,-0.7718539834022522
tam zamaninda sicacik geldi,1,0.7003582715988159
kizim istedigi siparis verdim gerçekten parama acidim içinde tavuk bence sadece dis kiyisi var tavuk yok misket kadar bir sey gördüm kutuda bi patates bir cola var ordada he bir hamburger dedikleri bir sey paraya et yenir menüye fiyat gerçekten kizginim,-1,-0.9994505643844604
108,-1,-0.7425251603126526
gerçekten hizli sicak bir sekilde geldi,-1,-0.9857855439186096
hizli sicakti,-1,-0.9946717619895935
zaman sicak lezzetli seviyorum kfc yi,1,0.9841585159301758
siradan,-1,-0.9852418899536133
servisin içine tuz eklerseniz güzel olur onun yaninda hizli geldi tesekkürler,-1,-0.9971413612365723
güzeldi,1,0.9682750105857849
15 dk siparis geldi sicak lezzetli tesekkürler kfc,1,0.9063830971717834
ürünler harika hiz müthis,1,0.9962623715400696
patatesler buzdolabindan çikmis kadar soguk kötü,-1,-0.9989343881607056
hizli servis lezzetli menüleri memnun kaldim,-1,-0.9228920936584473
ferdi,1,0.6654143333435059
kova gosteriyor fotografata kova gelmedi ekmek gelmedi ketcap mayyonez yoktu patatesler buz tavuklar buz hemde cok azdi kesinlikler siparisteki aynisi degil,-1,-0.9992716908454895
sizden soluyordum son gönderdiginiz den sonra benim son kfc yiyisimdi,1,0.7248279452323914
sahane,1,0.991317093372345
53,1,0.7873047590255737
havada böyle sicak lezzetli hemde hizli olunmaz be mükemmelsiniz,1,0.9949254393577576
tesekkürler,1,0.9723026752471924
etler iyi pismiyor,-1,-0.9978115558624268
patatesler soguk 4 tane menu soyledik ketcap mayonez utanilcak derece konulmus menu basina birer bile koyulmamis,-1,-0.9993475079536438
biraz pahali olmasa sik alabiliriz aslinda,-1,-0.963728666305542
siparisimin elime ulasmasi gerçekten hizliydi patates hamburgerler maalesef hamurlasmis tazeliklerini yitirmisti,-1,-0.9992395043373108
s,0,-0.5859019160270691
iki menü olarak siparis verdim midemde yanma yapti tavuklar bayat,-1,-0.9992857575416565
sey harika özellikle hiz,1,0.9758294820785522
kar yagmasina ragmen 20 dk geldi tesekkürler,1,0.6374717950820923
hizli geldi ayrica servis basarili,-1,-0.9953770041465759
kfc zaman bir harika,1,0.99473637342453
memnun olabilirdim malesef paket gelen servis küçük oluyor,-1,-0.9987776875495911
harikaa,1,0.9891895055770874
güzeldi,1,0.9682750105857849
patatesleri bir sefere soguk gönderirseniz sevinirim,-1,-0.7540992498397827
yemek siparisi verince mantigken bayat gelmemesi lazim degil mi not olarak yazdigim halde bundan onceki siparislerimde bayt göndermeyin 100 kere yazdim yinede sonuç fotografta,-1,-0.8959944844245911
sevgililer günün kutlu olsun ferdi bey,1,0.8870021104812622
xtreme menü siparisi vermistim içerisindeki tavuk kanat acili hot shotslar gönderilmemisti birdahakinde dikakt edilirse sevinirim,-1,-0.992935299873352
kus yemi kadar sunu biraz büyütün bedava mi veriyorsunuz,-1,-0.9911845922470093
porsiyonlari acayip küçük,-1,-0.9772767424583435
serdar bey yardimci oldu,-1,-0.6453019380569458
iyiii,1,0.9891537427902222
tavuk patates soguk geldi,-1,-0.9974634647369385
siparisim cok hizli geldi guzel iletisimi cin ferdi beye ayrica tesekkürler,0,-0.5313805341720581
7 dakikada geldi sicacik lezzet kfc,1,0.9975084662437439
iiii,1,0.9766333103179932
hizli güzeldi,-1,-0.7021353244781494
twister harikaa,1,0.9950640201568604
ürünlerin soguk olmasi disinda pek bir sikinti yok,-1,-0.7107697129249573
içecek karisik meyve suyu dedim sormadan baska bir sey getirmisler hamburgerler soguk 56 tane patates koymussunuz fazla saolun gerçekten,-1,-0.9988242387771606
kurye mustafa bey hizli kibar sekilde sorunsuz teslim etti tesekkürler,1,0.7922943830490112
patatesler patates olmustu,-1,-0.9848980903625488
hizli sicak geldi tesekkürler,-1,-0.9627907872200012
hizli sicak geldi tesekkürler,-1,-0.9627907872200012
rezillik resmen nedir double xtreme söylemistim gelene bakin zahmet olmus iki kanat tavuk koymussunuz tesekkürler kfc,-1,-0.9983289241790771
tavuklarin çitirligi bazen tutmuyor genele vurursak gayet iyi,0,0.5561814308166504
siparisi verir vermez getiriyorlar tebrik ederiz,1,0.8921117782592773
hizli geldi fakat siparis eksikti,-1,-0.9960924983024597
taner demire hizindan dolayi tesekgr ederim,-1,-0.9132116436958313
109,1,0.6778926849365234
yavas servis ediyorlar,-1,-0.9981167316436768
elinize saglik,1,0.9493116140365601
tuz ketçap mayonez islak mendil vardi yakismadi,-1,-0.9989573955535889
doruk beye tesekurlerimi sunuyorum,0,0.5595225691795349
taner bey süper hizli tskrlr,1,0.9841743111610413
dondurmayi gondermediler,-1,-0.9943014979362488
birkan bebesim bizimle güzel ilgilen di,-1,-0.845651388168335
ben size özellikle acili olmasin dedim inadina acili koymussunuz bide 3 tane taze tavuk digerleri bayat ti gerçekten verdigim paraya yazik hakkimi helal etmiyorum,-1,-0.9993363618850708
hizli lezzetli harika,1,0.6058854460716248
tanercim sagol hizindan dolayi emegine saglik,1,0.891718864440918
hamgugeri yapan arkadas söyleyin lütfen bune 1 saat durmus seyi göndermesi icini söylemiyorum bile,-1,-0.9943589568138123
güzeldi,1,0.9682750105857849
tavuk parçalari mükemmel patatesleriniz berbatti 5 siparisim tavuk parçalari güzel geliyor fakat patates kizartmasi defasinda kötü geldi soguk pismemis fazla yag çekmis sekilde geliyor sanirim patates kizartmasi konusunda kötüsünüz beceremiyorsunuz,-1,-0.9994632601737976
hizli sicak güzel,-1,-0.9753202795982361
1sz,-1,-0.8360159397125244
siparisi verdikten 70 dk sonra geldi patatesler çig oldugu yemedik,-1,-0.9306290745735168
teslimat görevlileri siparisimi asagi inip teslim almam gerektiginde eve teslim etmiyor,-1,-0.9943661689758301
teslimat görevlileri sipariimi asagi inip teslim almam gerektiginde eve teslim etmiyor,-1,-0.9853541254997253
cok iyi,1,0.9912058115005493
teskür,1,0.9409086108207703
ferdi bey cok dehset getirdi siparisi,1,0.9897210597991943
kadar kötü patates tavuk hayatimda yememistim,-1,-0.998457133769989
eskisi degil gelen hersey soguktu patateslar lastik gibiydi,-1,-0.9834777116775513
verdigimiz siparis yarim saat oldu hayla gelmedi 20 30 dk arasi gelecegi yaziyordu,-1,-0.9724222421646118
2 tane coca colalight gelmedi sadece 1 llik cola geldi yemekler soguktu yenmedi bile geç geldi siparis,-1,-0.9988219141960144
okeyiz,1,0.9887942671775818
siparisimden 1 saat 10 dk sonra sey buz olmus patatesler yenilecek degil tavuklar berbat halde geldi,-1,-0.9994031190872192
dun siparis verdim soguk geldi bugun vericem sicak gelirse sevinirim,-1,-0.9937697649002075
yemek soguktu ayrica kurye kapiyi bile çalmadi,-1,-0.9973343014717102
servis kötü ikinci siparisim ikisi soguk geldi 1 lt kola istemistim servis elemani kolayi unuttum 45 dk sonra getire bilirim dedi yemekle gelmeyen kola yi yapim dedim kolanin üçretini düsün dedim düsemem dedi umarim isletmeye bir uyari bulunursunuz tesekkürl,-1,-0.9991333484649658
doruk beyyyyy,1,0.9390924572944641
yemek zaman gelir dedim zil caldi harikasiniz,1,0.948171079158783
güzel,1,0.9026162028312683
gayet lezzetli hizli,1,0.6711766719818115
malzemeler baya bi azalmisssss fiyatlar maasallah zaten,-1,-0.9862641096115112
hot shot eksik geliyor seferinde,-1,-0.9948614239692688
109,1,0.6778926849365234
ferdi beye tesekkür ederim bizimle güzel ilgilendi,-1,-0.7599608302116394
kötü,-1,-0.9987760186195374
gusel,1,0.785348653793335
yemek sicakti hizli geldi,-1,-0.9987014532089233
kusursuz,1,0.9955668449401855
asiri burgerin eski tadi kalmamis,-1,-0.996678352355957
guzeldi,1,0.9682750105857849
güzel,1,0.9026162028312683
hizli sicak lezzetli kurye arkadasada tesekkür ederim,-1,-0.737537145614624
lütfen artik su servislere islak mendil koyun tavuk yedikten sonra elimizi silmek istiyoruz,-1,-0.9896597862243652
ayrani koymayi unuttunuz bi dönüs yapip özür dilrmediniz,-1,-0.9976712465286255
evim beykoz incirkoy mahallesinde siparis vermek istedim bolgeye teslimat yokmus beykoz pasabahce icin teslimat var aradaki mesafe motorla 5 dk lik bir mesafe canimiz kfc cektiginden siparisi pasabahceye soylemek zorunda kaldim pasabahceye arabayla geldim ona ragmen geciktiniz,-1,-0.9978944659233093
lezzet açisindan begenmekle birlikte hiz konusunda harikalar bugün siparisim 20 dkda geldi kuryeniz ferdi beyin hizindan dolayi tesekkürlerimi iletmek istiyorum iyi günler,0,0.5918670892715454
the best,1,0.9931182861328125
hiz lezzet zamanki iyiydi yaninda siparis ettigim mozaik kek gelmedi yine tesekkürler,-1,-0.9936095476150513
iyidir,1,0.6914651393890381
gayet lezzetli temiz hizli kaliteli servis,1,0.9303823113441467
yazik bozdular,-1,-0.9555943608283997
paketleme sisteminizi düzgün bulmuyorum ortaya atilmis güzel duruyor,-1,-0.9995137453079224
özellikle belirtmeme ragmen patates sogan halkalari cok soguk ögleden kalmisti yumusayip gitmislerdi,-1,-0.9946281909942627
tesekkür ediyorum hizli serviz güzel lezzet,0,-0.545955240726471
asiri burgerden eser yok,-1,-0.9978731870651245
bilmiyorum eve çikmiyorlar,-1,-0.983040452003479
zamanki güzeldi,1,0.8546082377433777
servis hizliydi ürünler lezzetli sicak geldi,-1,-0.997169554233551
verilen sipariste eksiklik var içecek olarak ekstra verilen fuse tea gelmedi getirilen siparisteki ürünlerin soguk tas gibiydi,-1,-0.9993776082992554
kadar sicak geldi yiyemedim alisik olmadigim sogumasini bekledim,-1,-0.9960393309593201
taner demir e kibar hizmetinden dolayi tesekür ederim,-1,-0.9837523698806763
patatesler siparisimde pismemis gönderiliyor,-1,-0.9977059960365295
cok hizli sicacik guzel tesekkur ederim,1,0.965225875377655
ferdi beye tesekkür ederiz,-1,-0.6850961446762085
eve çikmiyor ben kfc karsisinda oturuyorum inmek istedigimce lokanta gidiyorum saçma bir sey,-1,-0.9985403418540955
kurye arkadas kibardi servis tesekkür ederim,1,0.7213147878646851
aramizda 100150 metre anca var siparis yarim saatte geldi hiz konusunda iyi olmalisiniz,-1,-0.830498993396759
geç geldi güzeldi hersey,1,0.9135013818740845
asiri burger siparis veriyordum bozdunuz bidaha sizden siparis vermeyecegim,-1,-0.9935563206672668
muhtesemdi,1,0.9880451560020447
salata yolluyorsun çatal yok hizmetiniz kotu begenmedim,-1,-0.999484121799469
yavas ayni zamanda soguk geldi hizmet servis sifir,-1,-0.9994260668754578
hizli sicak lezzetli tesekkürler,-1,-0.8588935732841492
kova efsaneydi tufan beye tesekkür ederim,1,0.9907136559486389
süperdi elinize saglik,1,0.9891344308853149
iyiydi,1,0.819162130355835
körfez konutlarina gelip motor birakanadiklari sitenin kapisina kadar yürümek zorunda kaldigimdan bir siparis etmeyecegim sitede 320 daire var,-1,-0.9982748031616211
guzeldi hizli geldi,0,0.5938019156455994
memnun kaldim gayet hizliydi kuryeniz ellerinize saglik,1,0.8801018595695496
son 2 yildir ilk kavacik kfc verdigim bir siparisim geldi bile büyük bir gelisme kfc adina kadar sikayete ragmen hiçbir yetkilinin dönüs yapmamasi ülkedeki ilk kfc bayilerinden birinin eski sahibi olarak rakipleri karsisinda direnemedigini açikliyor yazik,-1,-0.8498504757881165
iyiydi,1,0.819162130355835
eve çikmiyorlar,-1,-0.9932722449302673
güzeldi,1,0.9682750105857849
very good but chicken pieces are getting smaller,1,0.9933910965919495
paket servisleri güzel degil soguk geliyor,-1,-0.9991838335990906
yemek baya soguk geldi içecek ayran eksikti ilk degil 3 tavuk baya sert geldi umarim tekrar böyle olmaz,-1,-0.9975073933601379
siparis soguk geldi özellikle patates kizartmasi buz gibiydi,-1,-0.9991263151168823
patates sikinti hepsinde öyle,-1,-0.99928879737854
kurye ferdi bey buzlu yollara ragmen hizlica getirdi tesekkür ederim,-1,-0.7089058756828308
ferdi beye güler yüzü samimiyeti hizli teslimati tesekkür ederim,1,0.6935776472091675
harikaydii sagol,1,0.9916538596153259
asiri burgeri bozmayin yalvariyorum,-1,-0.9545673131942749
the food was cold,-1,-0.9784627556800842
cok guzeldiii,1,0.9896290302276611
kurye ferdi beye tesekkürler,-1,-0.7344145178794861
tek sikintim sey sicak geliyor son 45 siparisimde patatesler sogumustu tek patatesler soguk oluyor buna bir çözüm bulmanizi rica ediyorum,-1,-0.9977629780769348
siparisimi eksik getirdiler,-1,-0.9981260895729065
guzel bir menuyu afiyetle yedik doruk bey sayesinde,1,0.9801645278930664
ferdi beye tesekkür ederim bizimle güzel ilgilendi,-1,-0.7599608302116394
kurye ferdi bey kibardi sagolsun,0,-0.5977054834365845
biscuit bayatti onun disinda güzeldi,-1,-0.8170934915542603
siparisi getiren ferdi beye nezaketli iletisimi zamaninda özenli paket teslimi tesekkür ederiz,0,-0.5758886337280273
57 dakikada soguk geldi,-1,-0.9719605445861816
tadi hariç sey iyi,0,-0.5934515595436096
ferdi beye tesekkür ediyoruz memnun kaldik siparisimizin hizli gelmesinden,-1,-0.9368460178375244
eyvallah,1,0.8772256374359131
asiri burgeri bozmussunuz,-1,-0.9966287612915039
berbat,-1,-0.9991132616996765
geç geldi,-1,-0.9940100312232971
tesekkürler,1,0.9723026752471924
hizli sicacik geldi,-1,-0.9532601833343506
icetea yerine ayran geldi,-1,-0.9975874423980713
cocacola energyler gelmedi,-1,-0.9975742697715759
geç soguk geldi,-1,-0.9931439757347107
patatesleri keske kizartip gönderseydiniz çig patatesleri çöpe atmak zorunda kaldim,-1,-0.9979627728462219
lezzetliydi tesekkürler,1,0.9496430158615112
1948 siparis verdim 2031 yemek sepetini aradim restorantla görüstü çiktigini söyledi 2105 oldu siparis gelmedi tekrar aradim yemek sepeti müsteri hizmetlerini restorantka görüstü restorant yine siparisin çiktigini söyledi burada yemek sepetini suçlu bulmuyorim restorantin hatasi yemekler buz,-1,-0.9693683981895447
kurye nazikti,1,0.8247095942497253
asiri burgerdeki etini küçültmüssunuz,-1,-0.9956315755844116
nasil olsa bizden gene alacaklar mantigini birakmadiginiz surece cokkkkk kurumus tavuk yemege devam ederiz yaziklar olsun,-1,-0.9939075112342834
geç geldi soguk bir sekilde geldi,-1,-0.9936844110488892
sefer tadi kotuydu,-1,-0.997728168964386
92 dakikada geldi tesekkurler kfc,1,0.9964993596076965
özellikle not kisminda sicak taze istedigimi belirtmeme ragmen yemin edebilirim bayat hamburger ekmegi kup kuru tavuk parçalari gönderildi ben böyle birsey görmedim helal etmem böyle hizmete parayi,-1,-0.9991329908370972
gayet güzeldi,1,0.9631555080413818
kurye doruk beye cok tesekur ediyorum yagisli havalarda bile cok hizlilar,1,0.6735683083534241
hizli sicak geldi kurye arkadasa tesekkür ederiz,-1,-0.9130215048789978
2 parca tavuk eksik gelmisti canlari sagolsun gercekten cok seviyorum burayi emeklerine saglik,1,0.9719750285148621
adresi tutturamiyorlar bir türlü ürün soguk geliyor,-1,-0.9977285265922546
serviste ketçap mayonez nede pipet çikmadi patetesleri kuru kuru yedik kaçinci servis eksigi oldu ayni adrese arayip söylemekten biktik artik sizlere,-1,-0.9989060163497925
yemekler soguk bayat geldi,-1,-0.9992900490760803
patatesler pismemisti,-1,-0.9906294345855713
ferdi,1,0.6654143333435059
sistemde siparis teslim edildi gözükmesine ragmen siparis edilen saatten 2 saat sonra geldi teslim edildi gözükmesi saçma,-1,-0.9973433017730713
malzemeler eksik geldi,-1,-0.9989675879478455
tesekürler taner,1,0.9583342671394348
sicak güzel,0,0.5372365117073059
sefer lezzeti sasirtti ekmekler bayati hot shots kadar kuruydu sertti yiyemedim umarim bidahakine böyle gelmez,-1,-0.9982995986938477
biraz sicak olabilirdi,-1,-0.9766442179679871
kadar kötüsünü yememistik,-1,-0.9875099658966064
ilk özenli hazirlanmis bir siparisti,-1,-0.7281935214996338
kemiksiz tavuklar asiri tuzluydu yerken tansiyon hastasi olduk bir kismini yiyemedik onun disinda kfc subesi sasirtici derecede isini iyi yapiyor,0,0.5272012948989868
gayet iyi bir sube,-1,-0.6791340112686157
istesem gondermezsiniz bir tanesine ekstra peynir koymustunuz hic begenmedim,-1,-0.9993075728416443
güzel,1,0.9026162028312683
sipariste ketçap mayonez unutuluyor maalesef subenin hiz artisi harika notlara dikkat ederseniz seviniriz,-1,-0.9993311166763306
hizli teslimat,-1,-0.9127748608589172
on numara,1,0.998767077922821
harikaaa hersey tam,1,0.9935899376869202
islak mendil peçete kürdan servis ürünlerini göndermeyi bakalim zaman ögrenecek uluslararasi zincir kurumlar,1,0.7371074557304382
siparis kurye cok iyi,1,0.9768345952033997
siparis veriyorsun millli merasim töreni geliyor paket duzeni berbar sey iç içe girmis önemsenmemis kurye yavas kapiya gelen motorcular efsan güler yuzlu mükemmmel arkadaslarr,-1,-0.9992250204086304
yemekler harika,1,0.9735192060470581
kaliteli restoran tesekkürler,1,0.9859573245048523
sicakti güzeldi patates kizartmasi degildi üzgünüm hizliydi önce söylediklerimden iyi geldi tebrikler devam edin lutfen,-1,-0.827707052230835
eksik ürün getirildi 1 saatten fazla oldu eksik ürün getirilmedi,-1,-0.962239146232605
iyi iyi iyi iyi iy i,1,0.8948613405227661
gerek tadi gerek servisi seyiyle muhtesem,1,0.9936420917510986
güzeldi,1,0.9682750105857849
kocaman hamburger ekmeginin çeyregi kadar tavuk vardi,-1,-0.8774712681770325
hizli lezzetli,-1,-0.9248684644699097
sipariste ketçapmayonez unutuluyor dikkat ederseniz seviniriz,-1,-0.9964296221733093
verdigim siparis iki sokak aramiz olmasina ragmen 1saat 20dk geldi buz gibiydi,-1,-0.9989264607429504
patatesler soguktu taze degildi,-1,-0.9984297752380371
50dkda geldi soguktu,-1,-0.9908970594406128
ferdi beye tesekkür ederim,-1,-0.8074758052825928
güzel,1,0.9026162028312683
taner beye tesekürler,-1,-0.6361309289932251
zamana kadar gelen iyi lezzet hersey sicakti teslimat hiz mukemmel çalisan arkadasa tesekkürler,1,0.9739241600036621
kuryeniz iyi gülüm severdi hersey tesekkürler,1,0.8441455960273743
lütfen tekrar isitilmis patates tavuk göndermeyin,-1,-0.9918302893638611
kavacik kfc herzaman taze güzel siparis güleryüzlü kurye arkadaslar,1,0.9568647742271423
airi burgeri ben begendim tam benim agzima göre bide gerçekten hizli servis yapiyorsunuz,-1,-0.7560539245605469
cok gec geldi soguktu ayrica ketçap vardi yaninda nede mayonez,-1,-0.9745803475379944
hersey berbat ti buz patetes sogan halkasi lastik asiri lezzetsiz tavuk parçalari buz kötüydü pisman oldum birdaha asla siparis vermem,-1,-0.9994722604751587
müthis hizli geldi sicacik çitir çitirdi tesekkürler,1,0.9935190081596375
güzel tesekkürler,1,0.9600749015808105
tesekkür ederim,1,0.9467385411262512
mehmet kurye arkadasa tesekkürler cik kibar hizli geldi,-1,-0.7419570684432983
patatesler güzel olabilir,-1,-0.6792876720428467
iyi,1,0.8707313537597656
sicak gelsin dedim simsicak geldi hatta kurye arkadas yaklasirken aradi harikasiniz,1,0.987016499042511
hizli zamanki,-1,-0.9860556721687317
bir sorun yoktu tesekkürler,1,0.9098182320594788
iyi,1,0.8707313537597656
ellerinize saglik,1,0.9728010296821594
lezzetinizi bozmaya baslamissiniz kolalar dökülmüs geliyor soslar bazen eksik geliyor,-1,-0.9986464381217957
ferdi beye tesekkür ederim,-1,-0.8074758052825928
önemli degil iyi niyetli yaziyorum ücretli promosyon teslim edilmeliydi,-1,-0.9850848317146301
volkan abiye hizindan dolayi tesekkür ediyorum,-1,-0.6744793057441711
lezzet rezaletti tavuklardan bozuk gibiydi bozuklugu çitir pane harciyla saklamaya çalismislar kfc baya bozdu çocuklugumuzdaki lezzetli tavuk tadi yok siparis vermeyin tavsiye etmem 50 liram çöpe gitti,-1,-0.9994859099388123
önceki siparis bayatti sefer gelen tazeydi güzeldi,0,-0.574989914894104
iddiaya girerim 2 saat önce pisen tavugu isitip gondermisinizdir kupkuru sertti,-1,-0.9981004595756531
bir hamburger karabiber yoktu patatesler bayat soguktu ortalama sürede geldi servise bütün ürünler birbirine girmisti islak mendil yoktu umarim bidahakine düzgün gelir yakismadi kfc,-1,-0.9993959665298462
iyi,1,0.8707313537597656
bomba,1,0.971185564994812
tesekkürler,1,0.9723026752471924
teslim eden arkadas cok iyiydi hizli gelmesine ragmen sogumustu genel olarak memnun kaldik,-1,-0.9528110027313232
ferdi beyin güler yüzlü olmasi ilgili davranmasi hostu iyi çalismalar,1,0.8253188133239746
patates biraz soguk kuruydu hamburgerler güzeldi,-1,-0.948392927646637
kafi,1,0.7995194792747498
sükür taze geldii,1,0.7201381325721741
tskk,1,0.8708837032318115
güzel,1,0.9026162028312683
taner beye tesekürler,-1,-0.6361309289932251
urun geldiginde soguktu soguk kfc kanatlari lezzetli degildi siparisler direk adrese gelmiyor bir seferde birden fazla teslimat yapmaya calistiklari icin yiyecekler soguyor ayrica siparisim teslim edilmedigi halde sistemde teslim edilmis gorunuyordu,-1,-0.9985266923904419
güzeldi,1,0.9682750105857849
patates isini gelistirmeniz lazim soguk cok yagli bazilari pismis sert halbuki sicak kalin kesim baharatli yapabilirsiniz,-1,-0.9937208890914917
